iter	Passed	Remaining
652	775	412
653	776	410
654	777	409
655	778	408
656	779	407
657	780	405
658	781	404
659	782	402
660	783	401
661	783	400
662	785	399
663	786	397
664	787	396
665	788	395
666	788	393
667	789	392
668	790	391
669	792	390
670	792	388
671	793	387
672	794	386
673	795	384
674	796	383
675	797	382
676	798	380
677	799	379
678	799	378
679	800	376
680	801	375
681	802	374
682	803	372
683	804	371
684	804	370
685	806	368
686	807	367
687	808	366
688	809	365
689	809	363
690	810	362
691	811	361
692	812	359
693	813	358
694	814	357
695	815	356
696	816	355
697	817	353
698	818	352
699	818	350
700	819	349
701	820	348
702	822	347
703	823	346
704	824	344
705	824	343
706	825	342
707	826	341
708	828	339
709	828	338
710	829	337
711	830	335
712	831	334
713	832	333
714	833	332
715	834	330
716	835	329
717	835	328
718	837	327
719	838	325
720	838	324
721	839	323
722	840	322
723	841	320
724	842	319
725	843	318
726	844	317
727	845	315
728	846	314
729	846	313
730	847	311
731	848	310
732	849	309
733	850	308
734	851	307
735	852	305
736	853	304
737	854	303
738	855	302
739	856	301
740	857	299
741	858	298
742	859	297
743	860	296
744	861	294
745	862	293
746	863	292
747	863	291
748	864	289
749	865	288
750	867	287
751	868	286
752	869	285
753	870	283
754	871	282
755	872	281
756	872	280
757	873	278
758	874	277
759	875	276
760	876	275
761	877	273
762	878	272
763	879	271
764	879	270
765	880	269
766	882	268
767	883	266
768	884	265
769	885	264
770	885	263
771	886	261
772	887	260
773	888	259
774	889	258
775	890	257
776	891	255
777	892	254
778	893	253
779	894	252
780	895	251
781	896	249
782	898	248
783	899	247
784	900	246
785	900	245
786	901	244
787	902	242
788	903	241
789	904	240
790	905	239
791	905	237
792	906	236
793	907	235
794	908	234
795	909	233
796	910	231
797	911	230
798	912	229
799	913	228
800	914	227
801	915	226
802	916	224
803	917	223
804	918	222
805	919	221
806	920	220
807	920	218
808	921	217
809	922	216
810	923	215
811	924	214
812	925	212
813	926	211
814	928	210
815	929	209
816	930	208
817	931	207
818	931	205
819	932	204
820	933	203
821	934	202
822	935	201
823	936	200
824	937	198
825	938	197
826	939	196
827	940	195
828	943	194
829	944	193
830	945	192
831	946	191
832	947	190
833	948	188
834	949	187
835	950	186
836	951	185
837	952	184
838	953	182
839	954	181
840	956	180
841	957	179
842	958	178
843	959	177
844	960	176
845	962	175
846	963	174
847	964	172
848	965	171
849	966	170
850	967	169
851	968	168
852	969	167
853	971	166
854	973	165
855	974	163
856	976	162
857	978	161
858	979	160
859	980	159
860	981	158
861	982	157
862	983	156
863	985	155
864	986	154
865	989	153
866	990	152
867	992	150
868	993	149
869	995	148
870	996	147
871	998	146
872	999	145
873	1000	144
874	1002	143
875	1004	142
876	1005	141
877	1006	139
878	1008	138
879	1009	137
880	1010	136
881	1011	135
882	1013	134
883	1015	133
884	1016	132
885	1018	130
886	1019	129
887	1020	128
888	1021	127
889	1022	126
890	1023	125
891	1024	124
892	1025	122
893	1027	121
894	1028	120
895	1029	119
896	1030	118
897	1031	117
898	1033	116
899	1034	114
900	1036	113
901	1037	112
902	1038	111
903	1039	110
904	1041	109
905	1042	108
906	1043	107
907	1045	105
908	1046	104
909	1047	103
910	1049	102
911	1051	101
912	1052	100
913	1053	99
914	1054	97
915	1055	96
916	1056	95
917	1057	94
918	1058	93
919	1060	92
920	1061	91
921	1062	89
922	1064	88
923	1065	87
924	1066	86
925	1067	85
926	1069	84
927	1070	83
928	1071	81
929	1072	80
930	1073	79
931	1074	78
932	1075	77
933	1077	76
934	1078	74
935	1079	73
936	1080	72
937	1081	71
938	1082	70
939	1084	69
940	1085	68
941	1087	66
942	1088	65
943	1089	64
944	1090	63
945	1092	62
946	1094	61
947	1095	60
948	1096	58
949	1097	57
950	1098	56
951	1100	55
952	1101	54
953	1102	53
954	1103	51
955	1104	50
956	1105	49
957	1106	48
958	1107	47
959	1109	46
960	1110	45
961	1111	43
962	1112	42
963	1114	41
964	1115	40
965	1116	39
966	1118	38
967	1119	36
968	1120	35
969	1121	34
970	1123	33
971	1125	32
972	1126	31
973	1127	30
974	1128	28
975	1129	27
976	1131	26
977	1132	25
978	1133	24
979	1134	23
980	1135	21
981	1137	20
982	1138	19
983	1139	18
984	1141	17
985	1142	16
986	1143	15
987	1144	13
988	1145	12
989	1146	11
990	1147	10
991	1148	9
992	1149	8
993	1150	6
994	1152	5
995	1153	4
996	1155	3
997	1156	2
998	1157	1
999	1158	0
